"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType"
"Admin-Path","https://nekotab.app/dc-2026/admin/allocations/conflicts/adjudicator-institution/","Adj-inst conflicts","301","200 or 302","https://dc-2026.nekotab.app/admin/allocations/conflicts/adjudicator-institution/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/allocations/conflicts/team-institution/","Team-inst conflicts","301","200 or 302","https://dc-2026.nekotab.app/admin/allocations/conflicts/team-institution/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/allocations/panels/edit/","Panel editor","301","200 or 302","https://dc-2026.nekotab.app/admin/allocations/panels/edit/","239","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/printing/round/1/scoresheets/","Print scoresheets","301","200 or 302","https://dc-2026.nekotab.app/admin/printing/round/1/scoresheets/","236","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/printing/round/1/feedback/","Print feedback","301","200 or 302","https://dc-2026.nekotab.app/admin/printing/round/1/feedback/","234","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/printing/urls_sheets/teams/","Print team URLs","404","200 or 302",,"281","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/printing/urls_sheets/adjudicators/","Print adj URLs","404","200 or 302",,"290","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/users/","Admin user management","404","200 or 302",,"373","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/notifications/","Admin notifications","301","200 or 302","https://dc-2026.nekotab.app/admin/notifications/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/registration/institutions/","Reg institutions","301","200 or 302","https://dc-2026.nekotab.app/admin/registration/institutions/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/registration/teams/","Reg teams","301","200 or 302","https://dc-2026.nekotab.app/admin/registration/teams/","237","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/registration/adjudicators/","Reg adjudicators","301","200 or 302","https://dc-2026.nekotab.app/admin/registration/adjudicators/","237","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/","Admin home [sub]","404","200 or 302",,"744","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/configure/","Tournament config [sub]","404","200 or 302",,"269","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/draw/round/1/","Admin draw R1 [sub]","404","200 or 302",,"267","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/results/round/1/","Admin results R1 [sub]","404","200 or 302",,"275","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/feedback/","Feedback overview [sub]","404","200 or 302",,"260","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/feedback/important/","Important feedback [sub]","404","200 or 302",,"269","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/printing/urls_sheets/teams/","Print team URLs [sub]","404","200 or 302",,"264","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/users/","Admin users [sub]","404","200 or 302",,"386","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/congress/","Congress dashboard [sub]","404","200 or 302",,"283","text/html; charset=utf-8"
"Admin-Sub","https://dc-2026.nekotab.app/admin/ie/","IE dashboard [sub]","404","200 or 302",,"268","text/html; charset=utf-8"
